"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",23935816
"af","Africa","afbdi","Burundi","bdi",1660126.9999999998
"af","Africa","afben","Benin","ben",3689829
"af","Africa","afbfa","Burkina Faso","bfa",11384306
"af","Africa","afbwa","Botswana","bwa",9435276
"af","Africa","afcaf","Central African Republic","caf",688703
"af","Africa","afciv","Cote d'Ivoire","civ",13915422
"af","Africa","afcmr","Cameroon","cmr",5021787
"af","Africa","afcod","Democratic Republic of the Congo","cod",11093131
"af","Africa","afcog","Republic of the Congo","cog",4515208
"af","Africa","afcom","Comoros","com",294559
"af","Africa","afcpv","Cape Verde","cpv",16515
"af","Africa","afdji","Djibouti","dji",2296714
"af","Africa","afdza","Algeria","dza",62878856
"af","Africa","afegy","Egypt","egy",521549999
"af","Africa","aferi","Eritrea","eri",1594025
"af","Africa","afeth","Ethiopia","eth",15828683
"af","Africa","afgab","Gabon","gab",4273736
"af","Africa","afgha","Ghana","gha",60738973
"af","Africa","afgin","Guinea","gin",5915158
"af","Africa","afgmb","Gambia","gmb",16438
"af","Africa","afgnq","Equatorial Guinea","gnq",929827
"af","Africa","afken","Kenya","ken",76876382
"af","Africa","aflbr","Liberia","lbr",12610420.999999998
"af","Africa","aflby","Libya","lby",19069121
"af","Africa","aflso","Lesotho","lso",12263
"af","Africa","afmar","Morocco","mar",86403980
"af","Africa","afmdg","Madagascar","mdg",17199306
"af","Africa","afmli","Mali","mli",11727770
"af","Africa","afmoz","Mozambique","moz",67073199
"af","Africa","afmrt","Mauritania","mrt",17800445
"af","Africa","afmus","Mauritius","mus",141798599
"af","Africa","afmwi","Malawi","mwi",19763408
"af","Africa","afnam","Namibia","nam",27476177
"af","Africa","afner","Niger","ner",2021480
"af","Africa","afnga","Nigeria","nga",214320070
"af","Africa","afrwa","Rwanda","rwa",4123549.0000000005
"af","Africa","afsdn","Sudan","sdn",485002299
"af","Africa","afsen","Senegal","sen",14007311
"af","Africa","afshn","Saint Helena","shn",178881
"af","Africa","afsle","Sierra Leone","sle",16416156
"af","Africa","afsom","Somalia","som",143274
"af","Africa","afssd","South Sudan","ssd",28644
"af","Africa","afstp","Sao Tome and Principe","stp",1662
"af","Africa","afswz","Eswatini","swz",308028
"af","Africa","afsyc","Seychelles","syc",11634410
"af","Africa","aftcd","Chad","tcd",985859
"af","Africa","aftgo","Togo","tgo",1877434
"af","Africa","aftun","Tunisia","tun",9549843
"af","Africa","aftza","Tanzania","tza",98273991
"af","Africa","afuga","Uganda","uga",20080436
"af","Africa","afzaf","South Africa","zaf",1155898698
"af","Africa","afzmb","Zambia","zmb",92361483
"af","Africa","afzwe","Zimbabwe","zwe",7306781
"as","Asia","asafg","Afghanistan","afg",4419717
"as","Asia","asare","United Arab Emirates","are",2568599329
"as","Asia","asarm","Armenia","arm",8194265
"as","Asia","asaze","Azerbaijan","aze",12052704
"as","Asia","asbgd","Bangladesh","bgd",491661112
"as","Asia","asbhr","Bahrain","bhr",772841617
"as","Asia","asbrn","Brunei","brn",47578444
"as","Asia","asbtn","Bhutan","btn",56864
"as","Asia","ascck","Cocos (Keeling) Islands","cck",4413395
"as","Asia","aschn","China","chn",82463685147
"as","Asia","ascxr","Christmas Island","cxr",30034496
"as","Asia","ascyp","Cyprus","cyp",14261170.999999998
"as","Asia","asgeo","Georgia","geo",6308997
"as","Asia","ashkg","Hong Kong","hkg",3975224325
"as","Asia","asidn","Indonesia","idn",5186275494
"as","Asia","asind","India","ind",14197500511
"as","Asia","asirn","Iran","irn",445549195.00000006
"as","Asia","asirq","Iraq","irq",278350780
"as","Asia","asisr","Israel","isr",213892332
"as","Asia","asjor","Jordan","jor",210450886
"as","Asia","asjpn","Japan","jpn",44370984655
"as","Asia","askaz","Kazakhstan","kaz",72744988
"as","Asia","askgz","Kyrgyzstan","kgz",4630968
"as","Asia","askhm","Cambodia","khm",51477918
"as","Asia","askor","South Korea","kor",18884539552
"as","Asia","askwt","Kuwait","kwt",598874593
"as","Asia","aslao","Laos","lao",32972511
"as","Asia","aslbn","Lebanon","lbn",49004772
"as","Asia","aslka","Sri Lanka","lka",240472477
"as","Asia","asmac","Macau","mac",47562541
"as","Asia","asmdv","Maldives","mdv",36134234
"as","Asia","asmmr","Burma","mmr",188572050
"as","Asia","asmng","Mongolia","mng",14970784
"as","Asia","asmys","Malaysia","mys",6992088194
"as","Asia","asnpl","Nepal","npl",23964718
"as","Asia","asomn","Oman","omn",312476105
"as","Asia","aspak","Pakistan","pak",418150631
"as","Asia","asphl","Philippines","phl",1431467419
"as","Asia","aspse","Palestine","pse",4124539
