"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",93899862
"af","Africa","afbdi","Burundi","bdi",341357
"af","Africa","afben","Benin","ben",170548
"af","Africa","afbfa","Burkina Faso","bfa",85642
"af","Africa","afbwa","Botswana","bwa",220733
"af","Africa","afciv","Cote d'Ivoire","civ",17831153
"af","Africa","afcmr","Cameroon","cmr",864987
"af","Africa","afcod","Democratic Republic of the Congo","cod",142343
"af","Africa","afcog","Republic of the Congo","cog",779203972.0000001
"af","Africa","afcom","Comoros","com",480821
"af","Africa","afcpv","Cape Verde","cpv",138834
"af","Africa","afdji","Djibouti","dji",308771
"af","Africa","afdza","Algeria","dza",1633893.9999999998
"af","Africa","afegy","Egypt","egy",43354133
"af","Africa","aferi","Eritrea","eri",4319
"af","Africa","afeth","Ethiopia","eth",21561965
"af","Africa","afgab","Gabon","gab",944765819
"af","Africa","afgha","Ghana","gha",126193072
"af","Africa","afgin","Guinea","gin",308065
"af","Africa","afgmb","Gambia","gmb",197337
"af","Africa","afgnb","Guinea-Bissau","gnb",1833.0000000000002
"af","Africa","afgnq","Equatorial Guinea","gnq",27847195
"af","Africa","afken","Kenya","ken",31054715
"af","Africa","aflbr","Liberia","lbr",322213
"af","Africa","aflby","Libya","lby",58858
"af","Africa","aflso","Lesotho","lso",1930866
"af","Africa","afmar","Morocco","mar",79804763
"af","Africa","afmdg","Madagascar","mdg",6001468
"af","Africa","afmli","Mali","mli",20310427
"af","Africa","afmoz","Mozambique","moz",1012708
"af","Africa","afmrt","Mauritania","mrt",13891
"af","Africa","afmus","Mauritius","mus",13399308
"af","Africa","afmwi","Malawi","mwi",471870.99999999994
"af","Africa","afnam","Namibia","nam",7730004
"af","Africa","afner","Niger","ner",2061166
"af","Africa","afnga","Nigeria","nga",1292882720
"af","Africa","afrwa","Rwanda","rwa",907231.0000000001
"af","Africa","afsdn","Sudan","sdn",214297
"af","Africa","afsen","Senegal","sen",486078
"af","Africa","afshn","Saint Helena","shn",654547
"af","Africa","afsle","Sierra Leone","sle",1663887
