Year,Continent,Country,Import Trade Value,Export Trade Value
2012,Africa,Nigeria,2633505886,355942118.0
2012,Africa,Gabon,998080941,3241903.0
2012,Africa,Libya,994500453,23985894.0
2012,Africa,South Africa,944419806,1609398485.0
2012,Africa,Republic of the Congo,909274105,6183599.0
2012,Africa,Egypt,61765730,661592798.0
2012,Africa,Morocco,42883476,35795915.0
2012,Africa,Algeria,32917300,18582648.0
2012,Africa,Cote d'Ivoire,27134347,18977213.0
2012,Africa,Ethiopia,23037842,17527557.0
2012,Africa,Tunisia,17905732,19019555.0
2012,Africa,Kenya,14062135,46854311.0
2012,Africa,Mauritius,12684259,133425170.0
2012,Africa,Tanzania,10984486,113261661.0
2012,Africa,Ghana,10005160,210852804.0
2012,Africa,Namibia,9923466,19272928.0
2012,Africa,Mozambique,9240590,56956546.0
2012,Africa,Seychelles,7150390,27977735.0
2012,Africa,Eswatini,6670264,734490.0
2012,Africa,Democratic Republic of the Congo,5340436,7132278.0
2012,Africa,Uganda,3356650,4421654.0
2012,Africa,Niger,2947670,4545681.0
2012,Africa,Sierra Leone,2761686,10393485.0
2012,Africa,Lesotho,2357230,317264.0
2012,Africa,Madagascar,2329776,21063772.0
2013,Africa,Nigeria,1803660346,178614888.0
2013,Africa,Republic of the Congo,907186494,4811026.0
2013,Africa,South Africa,907035039,1415330360.0
2013,Africa,Gabon,829536028,3646771.0
2013,Africa,Libya,645336474,11176593.0
2013,Africa,Algeria,74815075,12912964.0
2013,Africa,Egypt,35454337,481326284.0
2013,Africa,Kenya,33036678,120148126.0
2013,Africa,Angola,28853212,25015462.0
2013,Africa,Equatorial Guinea,26152577,76905.0
2013,Africa,Morocco,24799954,62068144.0
2013,Africa,Ethiopia,19535462,21072778.0
2013,Africa,Mozambique,18761570,93316046.0
2013,Africa,Tunisia,17456826,9522023.0
2013,Africa,Sierra Leone,14505164,6936466.0
2013,Africa,Mauritius,11810137,135651938.0
2013,Africa,Namibia,10383513,21816195.0
2013,Africa,Tanzania,9747537,149273888.0
2013,Africa,Guinea,9422135,10557564.0
2013,Africa,Cote d'Ivoire,8874090,31348218.0
2013,Africa,Seychelles,6890064,32429421.0
2013,Africa,Ghana,6779992,167726438.0
2013,Africa,Botswana,6454485,17445664.0
2013,Africa,Eswatini,5782087,773036.0
2013,Africa,Madagascar,4349053,18079412.0
2014,Africa,Nigeria,1292882720,214320070.0
2014,Africa,Gabon,944765819,4273736.0
2014,Africa,South Africa,887281504,1155898698.0
2014,Africa,Republic of the Congo,779203972,4515208.0
2014,Africa,Zambia,348227573,92361483.0
